geom,Plan_ID,File_Name,Allocation_Area,Planning_Area,Location_Description,Coordinates
POINT (1358796.2114883512 534299.1009261906),9656,BURLEY'S ADDITION TO GORMAN WOODS,Southeast,Southeast,TERMINUS OF WOODSEDGE CT,"(39.1335,-76.836)"
POINT (1356243.8570523523 536044.2620751932),9152,STONE LAKE,Southeast,Southeast,N SIDE OF GORMAN RD OPPOSITE STEPHENS RD,"(39.1383,-76.845)"
POINT (1385832.2936703488 560271.7826481927),9169,DELANEY PROPERTY,Elkridge,Elkridge,S SIDE OF HUNT CLUB RD,"(39.205,-76.7406)"
POINT (1370371.0793403536 557666.5868841913),9701,ARBOR MEADOWS,Columbia,Columbia,W SIDE OF WATERLOO RD OPPOSITE MAYFIELD AVE,"(39.1978,-76.7951)"
POINT (1386708.0182103515 556341.8062911928),9006,HARWOOD PARK,Elkridge,Elkridge,NW SIDE MELROSE AVE S OF EUCLID AVE,"(39.1942,-76.7375)"
POINT (1356956.906548351 592997.463440191),8978,2718 OLD SAINT JOHN'S LANE,Ellicott City,Ellicott City,S SIDE OLD SAINT JOHN'S LN 250' W OF LEAF SHADE DR,"(39.295,-76.8425)"
POINT (1358669.2456003502 590696.2799121924),9273,HOWARD HEIGHTS,Ellicott City,Ellicott City,W SIDE OF SOUTHVIEW RD,"(39.2886,-76.8364)"
POINT (1362031.857790351 581031.5272851903),9433,SAINT JOHN'S POINT,Ellicott City,Ellicott City,E SIDE OF ST. JOHN'S LN N OF HIGH POINT RD,"(39.2621,-76.8246)"
POINT (1361830.92293635 577915.038215192),9504,FOREST CREEK,Ellicott City,Ellicott City,W SIDE OF COLUMBIA RD 600' S OF TEMORA MANOR LN,"(39.2535,-76.8253)"
POINT (1361791.8129083514 579994.0309821907),9293,SCOTT O. MILLER & CAROLE M. MILLER PROPERTY,Ellicott City,Ellicott City,W SIDE ST. JOHN'S LN 600' S OF CRESTLEIGH RD,"(39.2592,-76.8254)"
POINT (1378568.8812963516 566889.5035461914),9265,STEDDING PROPERTY,Elkridge,Elkridge,TERMINUS OF TALBOT'S LANDING,"(39.2232,-76.7662)"
POINT (1366647.974718351 556131.6160131916),9298,SNOWDEN RIVER BUSINESS PARK,Columbia,Columbia,W SIDE OF DRIED EARTH BLVD,"(39.1936,-76.8083)"
POINT (1345301.5513923503 553460.5994181912),9416,BELL PROPERTY,Columbia,Columbia,S SIDE OF HARRIET TUBMAN LN E OF CARAVAN CT,"(39.1862,-76.8836)"
POINT (1358598.1106943525 564266.1252321936),9432,WODE PROPERTY,Columbia,Columbia,NE SIDE OAKLAND MILLS RD 200' S OF SHADOW FALL TERR,"(39.216,-76.8367)"
POINT (1355292.46311035 559641.9391161911),9150,BLOOM PROPERTY,Columbia,Columbia,OWEN BROWN RD OPPOSITE ORIENT LN,"(39.2032,-76.8483)"
POINT (1378574.549416352 563787.9241671916),9243,CARTER'S CROSSING,Elkridge,Elkridge,N SIDE MONTGOMERY RD 300' W OF BELLANCA DR,"(39.2146,-76.7662)"
POINT (1356038.3877023533 527501.7364341933),9399,NORTH LAUREL PARK,Southeast,Southeast,N SIDE WASHINGTON AVE BETWEEN BOLTON ST & BREVARD ST,"(39.1149,-76.8457)"
POINT (1364384.4109963514 542300.8775301911),9237,CALVIN BOONE PROPERTY,Southeast,Southeast,SW SIDE JONES RD NW OF NORDAU CT,"(39.1556,-76.8163)"
POINT (1387124.9084363542 556542.9052941911),9306,HARWOOD PARK,Elkridge,Elkridge,E SIDE LOUDON AVE OPPOSITE MELROSE AVE,"(39.1947,-76.736)"
POINT (1379055.7728043497 563797.7427441925),8999,CATTERTON PROPERTY,Elkridge,Elkridge,N SIDE OF MONTGOMERY RD OPPOSITE BELLANCA DR,"(39.2147,-76.7645)"
POINT (1366038.9352243505 540830.2728861906),8799,JONES ROAD,Senior East,Southeast,E SIDE JONES RD 150' S OF MARY LN,"(39.1515,-76.8104)"
POINT (1376454.6725363545 570729.6581061911),9165,LOWE PROPERTY,Elkridge,Elkridge,W SIDE ILCHESTER RD 800' S OF WHARFF LN,"(39.2337,-76.7737)"
POINT (1366750.56769035 583429.0783281922),8982,DEVINE PROPERTY,Ellicott City,Ellicott City,N SIDE OF SYLVAN RD 200' N OF CHURCH RD,"(39.2687,-76.8079)"
POINT (1371241.9859783538 590523.1820361931),8787,CHESTNUT CREST,Ellicott City,Ellicott City,E OF CHESTNUT HILL DR 200' S OF FOREST HILL,"(39.2882,-76.7921)"
POINT (1389903.9876723513 560364.1500021927),9023,"CASECARESAN, LLC PROPERTY",Elkridge,Elkridge,S SIDE OLD WASHINGTON RD 50' W OF MONTGOMERY RD,"(39.2052,-76.7262)"
POINT (1374566.3383583538 559915.0410171915),9291,LLOYDE PROPERTY,Elkridge,Elkridge,E SIDE MEADOWRIDGE RD 800' S OF WESLEY LN,"(39.204,-76.7803)"
POINT (1378190.8176923506 566706.9507441912),8608,TALBOT'S LAST VIEW,Elkridge,Elkridge,TERMINUS OF TALBOT'S LANDING,"(39.2227,-76.7675)"
POINT (1357811.942450352 593135.6508201901),9200,ZEIGLER PROPERTY,Ellicott City,Ellicott City,S SIDE OF I-70 300' W OF MILLBROOK RD,"(39.2953,-76.8394)"
POINT (1349905.7652683482 597272.5445961896),8585,MARGARET'S FANCY,Ellicott City,Ellicott City,SE OF GREEN CLOVER DR & OLD FREDERICK RD,"(39.3067,-76.8673)"
POINT (1335074.2790703513 558179.6984451897),9241,CRICKET CREEK,Columbia,Columbia,S SIDE OF TROTTER RD 1800' S OF TROTTER RIDGE CT,"(39.1992,-76.9197)"
POINT (1359859.8342063501 584060.7401151918),9231,NORTHROP PROPERTY,Ellicott City,Ellicott City,E SIDE OF CHATHAM RD 220' S OF UNDEROAK DR,"(39.2704,-76.8322)"
POINT (1365940.593342349 540955.368830191),8843,NORDAU SUBDIVISION,Southeast,Southeast,E SIDE OF JONES RD OPPOSITE MARY LN,"(39.1519,-76.8108)"
POINT (1328954.6933123507 559741.5794901922),9134,DORIS JOHNSON PROPERTY,Columbia,Columbia,TERMINUS OF SYRACUSE CT,"(39.2035,-76.9413)"
POINT (1374488.1183023527 577775.3962311931),9028,ROY O. PETERSON,Ellicott City,Ellicott City,N SIDE COLLEGE AVE 600' SE OF HIGH CASTLE RD,"(39.2531,-76.7806)"
POINT (1390219.1351443492 557352.0287691932),8839,HANOVER'S GRANT,Elkridge,Elkridge,TERMINUS OF JULIE ANN DR,"(39.1969,-76.7251)"
POINT (1373197.770784352 577873.5820011925),8894,AUTUMN VIEW,Ellicott City,Ellicott City,SW OF COLLEGE AVE AT FOUR QUARTER RD,"(39.2534,-76.7852)"
POINT (1371355.6317843497 576195.3326361924),8806,WORTHINGTON FIELDS,Ellicott City,Ellicott City,RIVIERA SUN DR AT ACADEMY RD,"(39.2488,-76.7917)"
POINT (1352638.6493263543 579259.4559621923),9156,HEATHER GLEN PROPERTY,Ellicott City,Ellicott City,S SIDE OF ELDEE DR,"(39.2572,-76.8577)"
POINT (1371599.0775383525 578041.2251121905),12228,VILLAGE CREST - Phase 1,,Ellicott City,W SIDE OF VILLAGE CREST DR,"(39.2538,-76.7908)"
POINT (1371599.0775383525 578041.2251121905),8642,VILLAGE CREST,"Ellicott City,Senior East",Ellicott City,W SIDE OF VILLAGE CREST DR,"(39.2538,-76.7908)"
POINT (1371599.0775383525 578041.2251121905),9393,VILLAGE CREST - Phase 3,Senior East,Ellicott City,W SIDE OF VILLAGE CREST DR,"(39.2538,-76.7908)"
POINT (1371599.0775383525 578041.2251121905),9394,VILLAGE CREST - Phase 2,Senior East,Ellicott City,W SIDE OF VILLAGE CREST DR,"(39.2538,-76.7908)"
POINT (1365968.3671303503 586835.397245191),8925,OTTEN PROPERTY,Ellicott City,Ellicott City,N SIDE RIDGE RD 400' W OF PATAPSCO RIVER RD,"(39.278,-76.8107)"
POINT (1334568.399360355 554239.1762091909),9096,TOWERS PROPERTY,Columbia,Columbia,N SIDE GUILFORD RD 100' E OF HALL SHOP RD,"(39.1884,-76.9215)"
POINT (1359633.3928123526 547031.9770401921),8324,SOUTHERN HOMES,Columbia,Columbia,S SIDE OF COLEMAN THOMAS RD,"(39.1686,-76.833)"
POINT (1356913.2620243505 526942.0775451921),9009,NORTH LAUREL PARK,Southeast,Southeast,E SIDE OF NORTH LAUREL RD S OF MARYLAND AVE,"(39.1133,-76.8426)"
POINT (1361056.0909323506 574443.6257691905),9234,COLUMBIA HILLS,Ellicott City,Ellicott City,N SIDE SYBERT DR 100' W OF MEADOWBROOK LN,"(39.2439,-76.828)"
POINT (1335287.1169763505 554946.1137531921),8998,SCOTT FARM,Columbia,Columbia,TERMINUS OF WALTER SCOTT WAY,"(39.1903,-76.9189)"
POINT (1368958.867242355 578209.2318741903),8903,MULROY PROPERTY,Ellicott City,Ellicott City,W SIDE NEW CUT RD 2000' N OF HILLSBOROUGH RD,"(39.2543,-76.8001)"
POINT (1361949.1032383516 581204.6251611914),8841,SAINT JOHN'S POINT,Ellicott City,Ellicott City,E SIDE OF ST. JOHNS LN N OF HIGH POINT RD,"(39.2625,-76.8248)"
POINT (1355630.28306235 527264.9996331912),9019,NORTH LAUREL PARK,Southeast,Southeast,TERMINUS OF WASHINGTON AVE & TERMINUS OF BOLTON ST,"(39.1142,-76.8471)"
POINT (1340050.8884303495 542003.7746631932),9948,MAPLE LAWN FARMS,Southeast,Southeast,MAPLE LAWN BLVD S OF TILGHMAN ST,"(39.1547,-76.9021)"
POINT (1344561.2949203514 553490.7824511919),8705,B. JOHNSON PROPERTY,Columbia,Columbia,SOUTH SIDE OF HARRIET TUBMAN LN 300' E OF CARAVAN CT,"(39.1863,-76.8862)"
POINT (1346411.652694352 535360.9618461914),8550,HAMMERSMITH PROPERTY,Southeast,Southeast,SW QUADRANT SCAGGSVILLE RD & HARDING RD,"(39.1365,-76.8797)"
POINT (1389768.5196043514 564067.2081351914),8797,WIERKOWSKI PROPERTY,Elkridge,Elkridge,TERMINUS OF SUMMER HOME TERR,"(39.2154,-76.7267)"
POINT (1367650.0983343497 570444.192071192),8863,MONTGOMERY KNOLLS,Ellicott City,Ellicott City,TERMINUS OF MARYBETH WAY,"(39.2329,-76.8047)"
POINT (1362788.5518103503 579684.9276321903),8861,VIEW TOP ESTATES,Ellicott City,Ellicott City,EAST SIDE OF HIGH POINT RD 200' N OF ST. JOHN'S LN,"(39.2584,-76.8219)"
POINT (1375036.2255063504 550182.6493041907),8414,THE OAKS AT WATERS EDGE PHASE III,Elkridge,Elkridge,NE SIDE OF PORT CAPITAL DR,"(39.1772,-76.7787)"
POINT (1347024.093060352 535650.0643911902),8878,"ERNEST SOUDER, JR. RESIDENCE",Southeast,Southeast,E SIDE LEISHEAR RD 450' N OF SKAGGSVILLE RD,"(39.1373,-76.8775)"
POINT (1345755.2843983509 537208.6725771911),8221,TIPTON OVERLOOK,Southeast,Southeast,TERMINUS OF TIPTON DR,"(39.1415,-76.882)"
POINT (1333866.4026983492 567027.6909261923),8018,GILL PROPERTY,Columbia,Columbia,SE SIDE RT 108 300' NE OF TROTTER RD,"(39.2235,-76.9239)"
POINT (1373733.9749363512 568451.384591192),8394,ILCHESTER MANOR,Elkridge,Elkridge,S SIDE ILCHESTER RD 1200' SW OF ILCHESTER WOODS WAY,"(39.2275,-76.7833)"
POINT (1371642.722062353 569381.9675001912),8558,BOWEN'S PLANTATION,Ellicott City,Ellicott City,NE SIDE MONTGOMERY RD 200' S OF WOOD POINT PL,"(39.23,-76.7906)"
POINT (1346688.8237623535 560133.2316171918),8699,HICKORY POINT,Columbia,Columbia,JERRYS DRIVE 1500 FT NORTH OF OWEN BROWN RD,"(39.2046,-76.8787)"
POINT (1338592.7645603493 543879.48652119),8258,MAPLE LAWN FARMS,Southeast,Southeast,"DUKE ST, MULBERRY ST, ELLINGTON ST, ELMWOOD ST","(39.1599,-76.9073)"
POINT (1368467.4412383512 597172.1769201905),8392,THE WOODS AT PATAPSCO RIM,Ellicott City,Ellicott City,SE SIDE OLD FREDERICK RD 700' N ROLLING RIDGE CT,"(39.3064,-76.8018)"
POINT (1378778.8851423524 569726.3449971918),8566,CIDER MILL - PH. 1,Elkridge,Elkridge,SW SIDE OF LANDING RD 600' NW OF GROVEMONT DR,"(39.231,-76.7655)"
POINT (1373851.3050203547 572989.0217691921),8517,NOTTINGHAM WAY ACRES,Ellicott City,Ellicott City,END OF NOTTINGHAM WAY  NW OF BONNIE BRANCH,"(39.2399,-76.7829)"
POINT (1372929.6687083505 578158.3207341917),8609,AUTUMN VIEW,Ellicott City,Ellicott City,TERMINUS OF SONGSMITH LN,"(39.2542,-76.7861)"
POINT (1370798.1721823514 557483.6704311911),8700,MAYFIELD OVERLOOK,Elkridge,Elkridge,E SIDE WATERLOO RD N OF MAYFIELD AVE,"(39.1973,-76.7936)"
POINT (1361693.4710263498 579944.210795192),8400,SCOTT O. MILLER & CAROLE M. MILLER PROP. (HAIDER),Ellicott City,Ellicott City,W SIDE OF ST. JOHN'S LN 600' S OF CRESTLEIGH RD,"(39.2591,-76.8257)"
POINT (1361480.9165263511 579531.8305611927),8601,CRESTLEIGH SUBDIVISION,Ellicott City,Ellicott City,E SIDE OF WOODLEY RD N OF WHITEHALL RD,"(39.2579,-76.8265)"
POINT (1338812.687616352 543550.3823661916),8524,MAPLE LAWN FARMS,Southeast,Southeast,"W SIDE LIBERTY ST, E SIDE PRESIDENT ST","(39.159,-76.9065)"
POINT (1338588.5134703517 542970.7226721905),8522,MAPLE LAWN FARMS,Southeast,Southeast,"N & S ELLINGTON ST, N SIDE ELMWOOD ST, E SIDE MULBERRY ST","(39.1574,-76.9073)"
POINT (1384972.7232723497 561582.3808521908),8616,BUTLER PROPERTY,Elkridge,Elkridge,S SIDE OF HUNT CLUB RD AT BAUMAN DR,"(39.2086,-76.7436)"
POINT (1339793.5557823516 536973.0267291907),8071,CHERRYTREE PARK - PH. 3,Southeast,Southeast,SE QUADRANT US RT 29 & MD RT 216,"(39.1409,-76.903)"
POINT (1369882.7708023526 542580.8888001926),8289,JARED S. MILLER PROPERTY,Southeast,Southeast,E SIDE OF RT 1 580' N OF GATEWOOD DR,"(39.1563,-76.7969)"
POINT (1353014.7290883511 526900.9849821925),8610,GREGORY SUBDIVISION (ALL SAINTS PROPERTY),Southeast,Southeast,E SIDE OF ALL SAINTS RD AT OLD SCAGGSVILLE RD,"(39.1132,-76.8564)"
POINT (1349080.4869963527 559243.3776201922),8470,METZLERS GARDEN,Columbia,Columbia,N SIDE OF OWEN BROWN RD 350' W OF MARTIN RD,"(39.2021,-76.8703)"
POINT (1344951.5449823514 589659.1472601909),8546,VANBORINE PLACE,Ellicott City,Ellicott City,N SIDE OF RT 144 1000' E OF MANOR LN,"(39.2858,-76.8848)"
POINT (1365348.2748023495 591250.4840361904),8501,MUNDORF PROPERTY,Ellicott City,Ellicott City,W SIDE ROGERS AVE N OF HIGH RIDGE RD,"(39.2902,-76.8129)"
POINT (1367018.1029543504 554524.2785931919),7927,SNOWDEN RIVER BUSINESS PARK,Columbia,Columbia,TERMINUS OF DRIED EARTH BLVD,"(39.1892,-76.807)"
POINT (1369826.0896023512 590727.5538981911),8089,THE OAKS,Ellicott City,Ellicott City,N SIDE EDGEWOOD RD 440' E OF GOVERNORS RUN,"(39.2887,-76.7971)"
POINT (1357076.7872863524 536181.3585021924),7982,STONE LAKE,Southeast,Southeast,BOULDER RIDGE WEST OF STONE LAKE DR,"(39.1387,-76.842)"
POINT (1360158.2607243545 582551.5884651896),8181,MAP OF MACALPINE,Ellicott City,Ellicott City,E SIDE OF LIGON RD 200' N OF WAYCROSS RD,"(39.2662,-76.8312)"
POINT (1377423.9210563526 570652.9277451914),8468,GLYNCHESTER MANOR,Elkridge,Elkridge,E SIDE OF ILCHESTER RD 700' S OF LANDING RD,"(39.2335,-76.7702)"
POINT (1371626.8513263501 566602.5829071905),8525,CHAPEL MANOR  (MCFARLAND PROPERTY),Elkridge,Elkridge,W SIDE MONTGOMERY RD 200' S OF LYNN LN,"(39.2224,-76.7907)"
POINT (1360409.925252352 574493.0823051911),8178,COLUMBIA HILLS,Ellicott City,Ellicott City,N & S SIDE OF SYBERT DR W OF PARKVALE RD,"(39.2441,-76.8303)"
POINT (1349780.4998163506 528074.4867591914),8165,HOLST PROPERTY,Southeast,Southeast,E SIDE OF RIVERHILL RD,"(39.1164,-76.8678)"
POINT (1393589.1158903502 561980.5786971916),8485,WESLEY WOODS,Elkridge,Elkridge,TERMINUS OF TOOMEY LN,"(39.2097,-76.7132)"
POINT (1376247.502750352 567293.5198071934),8190,KIRBY PROPERTY,Elkridge,Elkridge,E SIDE OF KERGER RD,"(39.2243,-76.7744)"
POINT (1373710.1688323505 550412.8403871916),7881,VILLAGE TOWNS,Elkridge,Elkridge,NE QUADRANT OF OLD WATERLOO RD AT PORT CAPITAL DR,"(39.1779,-76.7833)"
POINT (1350508.5698303506 529231.9878921919),8518,HILLTOP ESTATES,Southeast,Southeast,W SIDE OF SCAGGSVILLE RD N OF HIGH RIDGE RD,"(39.1196,-76.8652)"
POINT (1350317.5541863516 529205.4413691908),8171,HILLTOP ESTATES,Southeast,Southeast,W SIDE OF SCAGGSVILLE RD N OF HIGH RIDGE RD,"(39.1195,-76.8659)"
POINT (1392137.793764349 559080.098321192),8153,WHITETAIL WOODS II,Elkridge,Elkridge,TERMINUS OF FLOREY RD,"(39.2017,-76.7183)"
POINT (1379954.1698243506 562438.7789571919),8325,WALTER & LAVERNE BROWN PROPERTY,Elkridge,Elkridge,S SIDE OF MONTGOMERY RD 500' E OF PARKVIEW CT,"(39.2109,-76.7613)"
POINT (1338687.138758354 543316.554773191),8257,MAPLE LAWN FARMS,Southeast,Southeast,N & S OF IAGER BLVD & W SIDE LIBERTY ST,"(39.1583,-76.9069)"
POINT (1374585.0431543551 571768.2453621924),7831,BONNIELASS,Elkridge,Elkridge,E SIDE OF BONNIE BRANCH RD 1600' S OF WHARFF LN,"(39.2366,-76.7803)"
POINT (1364351.25249435 542415.7912461907),8318,KELLY PROPERTY,Southeast,Southeast,W SIDE OF JONES RD N OF NORDAU CT,"(39.1559,-76.8164)"
POINT (1393559.9250723533 563206.0825671926),8026,CHASE/ORTHNER PROPERTY,Elkridge,Elkridge,BETWEEN MAIN STREET AND OLD WASHINGTON ROAD,"(39.213,-76.7133)"
POINT (1377957.574554354 567785.9032611921),8231,ILCHESTER OAKS  (DOBSON PROPERTY),Elkridge,Elkridge,N SIDE OF TALBOTS LANDING RD,"(39.2256,-76.7684)"
POINT (1364791.0986063518 543493.2891591918),8288,DORSEY PROPERTY,Southeast,Southeast,N SIDE OF MISSION RD 400' SW OF REDONDO WAY,"(39.1588,-76.8148)"
POINT (1334974.803564351 560634.3426951915),8083,TROTTER'S GLEN,Columbia,Columbia,W SIDE TROTTER RD 200' S OF TALL TIMBER DR,"(39.206,-76.92)"
POINT (1373054.3673483506 576689.8979961909),8086,AUTUMN VIEW,Ellicott City,Ellicott City,SW OF COLLEGE AVE 2400' NW OF BONNIE BRANCH RD,"(39.2501,-76.7857)"
POINT (1328854.0841823518 559729.5790071916),8128,DORIS JOHNSON PROPERTY,Columbia,Columbia,TERMINUS OF SYRACUSE CT,"(39.2035,-76.9416)"
POINT (1352630.9973643534 579264.5470761918),8020,HEATHER GLEN PROPERTY,Ellicott City,Ellicott City,S SIDE OF ELDEE DR,"(39.2572,-76.8577)"
POINT (1343573.341604352 550829.9480841924),8169,HOLIDAY HILLS,Southeast,Southeast,N SIDE HUNTING LN 1200' W OF NEWBERRY DR,"(39.179,-76.8897)"
POINT (1372926.834648352 577819.0343511906),7633,AUTUMN VIEW,Ellicott City,Ellicott City,W SIDE OF FOUR QUARTER RD & WINDING ROSS WAY,"(39.2532,-76.7861)"
POINT (1392154.7981243506 563250.4479891919),7811,ALBRIGHT PROPERTY,Elkridge,Elkridge,NE SIDE AUGUSTINE AVE AT WASHINGTON BLVD,"(39.2132,-76.7183)"
POINT (1359137.999124352 536280.2715741917),8033,STONE LAKE,Southeast,Southeast,N SIDE OF RIVER GLADE RUN,"(39.139,-76.8348)"
POINT (1338511.993850354 534059.4549171906),8155,DORTCH PROPERTY,Southeast,Southeast,S SIDE OF HARDING RD 800' E OF OLD COLUMBIA PIKE,"(39.1329,-76.9075)"
POINT (1391293.243884351 561811.84463319),7791,BONNIE RIDGE,Elkridge,Elkridge,TERMINUS OF CLAIRE DR,"(39.2092,-76.7213)"
POINT (1373259.5532923527 566492.7603051905),7648,JAMES HARRIS SUBDIVISION LOT 4,Elkridge,Elkridge,N SIDE KERGER RD OPPOSITE JAMES AVE,"(39.2221,-76.7849)"
POINT (1374595.5291763507 551476.8832131922),7030,THE OAKS AT WATERS EDGE,Elkridge,Elkridge,NE OF PORT CAPITAL DR SOUTH OF I-95,"(39.1808,-76.7802)"
POINT (1352173.8634863496 590814.8301381934),7866,GERMAN ROAD PROPERTY,Ellicott City,Ellicott City,S SIDE GERMAN RD 600' W OF BETHANY LN,"(39.289,-76.8593)"
POINT (1366775.507418353 569451.0611901917),8049,JASMYN WOODS,Ellicott City,Ellicott City,N SIDE OF HORSESHOE RD 550' WEST OF ROSECROFT TERRACE,"(39.2302,-76.8078)"
POINT (1390586.7127263509 561160.5456921924),7768,BLACK RESIDENCE,Elkridge,Elkridge,N SIDE OLD WASHINGTON RD OPPOSITE HANOVER RD,"(39.2074,-76.7238)"
POINT (1377793.7658863515 570245.6386251915),7987,GLYNCHESTER FARM,Elkridge,Elkridge,N SIDE ELLIS LN,"(39.2324,-76.7689)"
POINT (1335221.3667843528 568013.5487871915),7961,VETICK PROPERTY,Columbia,Columbia,SE SIDE OF MD RT 108 100' S OF MIDDLE PATUXENT CT_,"(39.2263,-76.9192)"
POINT (1377066.2626843527 572200.2627501916),7732,CAVANAUGH PROPERTY,Elkridge,Elkridge,W SIDE ILCHESTER RD 400' N OF ILCHESTER POINT CT,"(39.2378,-76.7715)"
POINT (1375789.518654354 567867.3610851914),8038,DENNIS PRESERVE,Elkridge,Elkridge,TERMINUS OF ILCHESTER WOODS WAY,"(39.2259,-76.776)"
POINT (1355068.005558353 534135.4579761904),7893,EMERSON,Southeast,Southeast,W SIDE OF STEPHENS RD S OF GORMAN RD,"(39.1331,-76.8491)"
POINT (1364820.5728303492 540110.9712081905),7740,MARY LANE - PH. 2,Senior East,Southeast,SE SIDE MARY LN 350' NE OF GUILFORD RD,"(39.1495,-76.8147)"
POINT (1364820.5728303492 540110.9712081905),7666,MARY LANE - PH. 1,Senior East,Southeast,SE SIDE MARY LN 350' NE OF GUILFORD RD,"(39.1495,-76.8147)"
POINT (1338598.4326803535 544586.0604141913),7939,MAPLE LAWN FARMS,Southeast,Southeast,W SIDE OF LIBERTY ST,"(39.1618,-76.9072)"
POINT (1338664.4662783518 544880.9813751914),7938,MAPLE LAWN FARMS,Southeast,Southeast,W SIDE OF LIBERTY ST,"(39.1626,-76.907)"
POINT (1344683.7263123542 558020.055656191),7496,SCOTS GLEN NORTH,Columbia,Columbia,SW QUADRANT OF CEDAR LN & HARMEL DR,"(39.1988,-76.8858)"
POINT (1361021.7988063507 579499.4656221904),7895,MAP OF CRESTLEIGH,Ellicott City,Ellicott City,NE QUADRANT OF CRESCENT RD & WHITEHALL RD,"(39.2578,-76.8281)"
POINT (1367261.2653023489 564232.3056891896),7590,GRAY SUBDIVISION,Columbia,Columbia,SW SIDE OF WATERLOO RD 830' S OF DAVIS RD,"(39.2159,-76.8061)"
POINT (1355533.9250223525 534765.301508192),7839,EMERSON,Southeast,Southeast,W SIDE STEPHENS RD S OF GORMAN RD,"(39.1348,-76.8475)"
POINT (1352035.561358355 547302.5333841909),7712,KINGS PLACE,Columbia,Columbia,N SIDE GUILFORD RD 200' W OF BLUE SEA DR,"(39.1693,-76.8598)"
POINT (1364851.4640843533 542681.2564761918),7643,NORDAU SUBDIVISION,Southeast,Southeast,SE SIDE MISSION RD 300' NE OF JONES RD,"(39.1566,-76.8146)"
POINT (1355394.2058643512 535006.7657721918),7832,EMERSON,Southeast,Southeast,W SIDE STEPHENS RD S OF GORMAN RD,"(39.1355,-76.848)"
POINT (1358997.146342352 545554.0993761923),7892,C & M PARTNERSHIP,Columbia,Columbia,S SIDE OF GUILFORD RD 550' W OF RIDGEVIEW DR,"(39.1645,-76.8353)"
POINT (1338548.5532243513 544276.9570641927),7886,MAPLE LAWN FARMS,Southeast,Southeast,W SIDE OF LIBERTY ST N OF ELMWOOD ST,"(39.161,-76.9074)"
POINT (1356044.6226343513 527000.6253561918),7799,NORTH LAUREL PARK,Southeast,Southeast,E SIDE OF N LAUREL RD S OF WASHINGTON RD,"(39.1135,-76.8457)"
POINT (1341593.7506943531 599978.4716871902),7467,THE COURTYARDS AT WAVERLY WOODS - EAST - PH.1 & 2,Senior East,Ellicott City,SE QUADRANT MARRIOTTSVILLE RD & OLD FREDERICK RD,"(39.3142,-76.8967)"
POINT (1343917.963300351 598046.7575751916),7802,GTW'S WAVERLY WOODS,Ellicott City,Ellicott City,N & S SIDE OF ENFIELD DR,"(39.3088,-76.8885)"
POINT (1355823.8493603505 534126.0030501913),7742,EMERSON,Southeast,Southeast,W SIDE STEPHENS RD S OF GORMAN RD,"(39.1331,-76.8465)"
POINT (1350948.1325363517 592301.4354261905),7830,BETHANY MANOR,Ellicott City,Ellicott City,W SIDE FOX HOUND RD 200' S OF FOX DEN RD,"(39.293,-76.8637)"
POINT (1355636.5179943517 534417.2875011917),7730,EMERSON,Southeast,Southeast,W SIDE STEPHENS RD S OF GORMAN RD,"(39.1339,-76.8471)"
POINT (1355591.456440352 535341.6883431915),7714,EMERSON,Southeast,Southeast,W SIDE STEPHENS RD S OF GORMAN RD,"(39.1364,-76.8473)"
POINT (1355575.8691103533 534173.6413311921),7711,EMERSON,Southeast,Southeast,W SIDE OF STEPHENS RD S OF GORMAN RD,"(39.1332,-76.8473)"
POINT (1355292.1797043495 534340.1934891902),7693,EMERSON,Southeast,Southeast,W SIDE STEPHENS RD S OF GORMAN RD,"(39.1337,-76.8483)"
POINT (1355874.8624403514 534931.8536661919),7678,EMERSON,Southeast,Southeast,W SIDE STEPHENS RD S OF GORMAN RD,"(39.1353,-76.8463)"
POINT (1373430.7305163518 571734.7894701902),7554,WORTHINGTON ADDITION,Ellicott City,Ellicott City,TERMINUS OF BONNIE VIEW CT,"(39.2365,-76.7843)"
POINT (1343628.889180351 598084.9409301914),7371,WAVERLY GARDENS,Ellicott City,Ellicott City,N SIDE OF BIRMINGHAM WAY AT WARWICK WAY,"(39.309,-76.8895)"
POINT (1361340.3471503519 573822.1462101918),7391,COLUMBIA HILLS CORPORATION PROPERTY,Ellicott City,Ellicott City,S SIDE SYBERT DR 200' E OF PARKVALE RD,"(39.2422,-76.827)"
POINT (1334569.8163903505 554572.6441761926),7479,SCOTT FARM,Columbia,Columbia,N SIDE OF GUILFORD RD AT WALTER SCOTT WAY,"(39.1893,-76.9215)"
POINT (1391411.99099835 561542.015591193),7573,CHOLAK PROPERTY,Elkridge,Elkridge,NW SIDE OLD WASHINGTON RD 300' N OF BONNIE VIEW LN,"(39.2085,-76.7209)"
POINT (1363396.457680352 573015.5682921931),7585,MONTJOY,Ellicott City,Ellicott City,TERMINUS OF EXECUTIVE PARK DR,"(39.24,-76.8197)"
POINT (1369446.3255623505 554410.8194811922),7658,DONHAM HEIGHTS,Columbia,Columbia,NORTH SIDE OF LARK BROWN RD OPPOSITE BENSON DR,"(39.1889,-76.7984)"
POINT (1366136.1434823498 594723.3510861918),7710,STREAKER PROPERTY,Ellicott City,Ellicott City,S SIDE OF OLD FREDERICK RD 100' NE OF N ROGERS AVE,"(39.2997,-76.8101)"
